Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Bournemouth,29,38.0,14072.0,18037.0,78.0,239562.0,94618.0,6832.0,7804.0,87.5,5701.0,6768.0,84.2,1179.0,2500.0,47.2,36.0,36.5,36.3,-0.5,369.0,1012.0,334.0,66.0,1295.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Brentford,28,38.0,15047.0,18708.0,80.4,255472.0,89605.0,7373.0,8191.0,90.0,6137.0,7122.0,86.2,1248.0,2566.0,48.6,42.0,43.3,41.8,-1.3,501.0,1279.0,430.0,92.0,1562.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Brighton,32,38.0,14240.0,17647.0,80.7,253402.0,87854.0,6260.0,6967.0,89.9,6537.0,7370.0,88.7,1220.0,2475.0,49.3,39.0,41.3,30.2,-2.3,333.0,1004.0,248.0,44.0,1209.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Chelsea,29,38.0,13008.0,16240.0,80.1,225986.0,83133.0,6079.0,6788.0,89.6,5545.0,6338.0,87.5,1116.0,2317.0,48.2,33.0,35.3,29.4,-2.3,283.0,929.0,255.0,62.0,1206.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Crystal Palace,29,38.0,17325.0,21227.0,81.6,304572.0,101974.0,7542.0,8554.0,88.2,7895.0,8939.0,88.3,1520.0,2707.0,56.2,39.0,38.5,34.4,0.5,373.0,1360.0,301.0,73.0,1578.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Everton,26,38.0,17944.0,21623.0,83.0,306074.0,100829.0,8349.0,9200.0,90.8,7862.0,8874.0,88.6,1365.0,2627.0,52.0,35.0,34.6,34.2,0.4,361.0,1368.0,331.0,76.0,1627.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Fulham,26,38.0,14692.0,18069.0,81.3,250460.0,87331.0,6948.0,7706.0,90.2,6126.0,7060.0,86.8,1212.0,2371.0,51.1,40.0,34.4,30.0,5.6,304.0,1144.0,279.0,65.0,1396.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Ipswich Town,32,38.0,18380.0,21940.0,83.8,312842.0,97353.0,8645.0,9483.0,91.2,8006.0,8968.0,89.3,1365.0,2612.0,52.3,55.0,53.5,47.9,1.5,456.0,1449.0,417.0,97.0,1726.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Leicester City,32,38.0,17576.0,21079.0,83.4,302665.0,99007.0,8208.0,9124.0,90.0,7627.0,8620.0,88.5,1431.0,2419.0,59.2,57.0,52.2,51.2,4.8,490.0,1418.0,435.0,109.0,1755.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Liverpool,24,38.0,12622.0,15957.0,79.1,216073.0,79156.0,5991.0,6722.0,89.1,5211.0,6052.0,86.1,1078.0,2250.0,47.9,28.0,29.4,25.2,-1.4,283.0,842.0,210.0,49.0,1091.0,Premier League 2024-2025,premier league,2024-2025,2024
