Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Real Madrid,3,38.0,26,1.0,0.0,2.0,1.0,34.4,0.29,9.4,0.25,79.0,210.0,37.6,952.0,177.0,17.1,25.2,291.0,16.2,24.3,487.0,35.0,7.2,38.0,1.0,12.2,La Liga 2023-2024,la liga,2023-2024,2023
Real Sociedad,2,38.0,39,6.0,0.0,5.0,1.0,40.8,0.27,2.8,0.07,192.0,465.0,41.3,1099.0,116.0,31.8,37.0,199.0,58.3,45.6,410.0,19.0,4.6,58.0,1.53,20.1,La Liga 2023-2024,la liga,2023-2024,2023
Sevilla,3,38.0,54,5.0,1.0,4.0,2.0,53.4,0.28,1.4,0.04,224.0,613.0,36.5,920.0,182.0,43.8,39.4,288.0,72.9,53.4,520.0,31.0,6.0,32.0,0.84,13.5,La Liga 2023-2024,la liga,2023-2024,2023
Valencia,3,38.0,45,3.0,1.0,7.0,2.0,51.4,0.29,8.4,0.22,191.0,696.0,27.4,883.0,148.0,58.2,29.1,275.0,66.2,49.9,561.0,46.0,8.2,32.0,0.84,8.3,La Liga 2023-2024,la liga,2023-2024,2023
Villarreal,2,38.0,65,6.0,1.0,9.0,1.0,61.7,0.27,-2.3,-0.06,150.0,378.0,39.7,1015.0,190.0,26.8,30.2,354.0,29.9,29.8,688.0,35.0,5.1,36.0,0.95,5.3,La Liga 2023-2024,la liga,2023-2024,2023
Atalanta,3,38.0,42,6.0,0.0,4.0,1.0,39.8,0.23,-1.2,-0.03,161.0,459.0,35.1,974.0,213.0,28.9,29.6,270.0,65.9,50.1,444.0,30.0,6.8,55.0,1.45,16.7,Serie A 2023-2024,serie a,2023-2024,2023
Bologna,3,38.0,32,3.0,2.0,3.0,1.0,32.1,0.23,1.1,0.03,118.0,348.0,33.9,941.0,159.0,26.5,29.6,285.0,34.7,33.2,505.0,13.0,2.6,19.0,0.5,12.2,Serie A 2023-2024,serie a,2023-2024,2023
Cagliari,3,38.0,68,4.0,3.0,10.0,3.0,56.2,0.34,-8.8,-0.23,202.0,544.0,37.1,838.0,137.0,42.1,64.0,312.0,61.2,45.9,583.0,28.0,4.8,24.0,0.63,,Serie A 2023-2024,serie a,2023-2024,2023
Empoli,3,38.0,54,6.0,0.0,10.0,1.0,48.9,0.22,-4.1,-0.11,162.0,542.0,29.9,1031.0,220.0,39.8,33.0,309.0,42.7,37.7,645.0,42.0,6.5,31.0,0.82,12.4,Serie A 2023-2024,serie a,2023-2024,2023
Fiorentina,3,38.0,46,8.0,3.0,5.0,0.0,45.5,0.25,-0.5,-0.01,191.0,458.0,41.7,1257.0,138.0,29.5,31.0,209.0,41.6,37.0,353.0,8.0,2.3,32.0,0.84,19.5,Serie A 2023-2024,serie a,2023-2024,2023
Frosinone,2,38.0,69,5.0,0.0,11.0,2.0,53.4,0.27,-13.6,-0.36,90.0,416.0,21.6,956.0,175.0,34.6,37.2,316.0,26.9,27.1,538.0,22.0,4.1,26.0,0.68,14.3,Serie A 2023-2024,serie a,2023-2024,2023
Genoa,3,38.0,45,3.0,1.0,4.0,1.0,41.6,0.28,-2.4,-0.06,245.0,634.0,38.6,1174.0,110.0,43.6,35.9,325.0,37.5,32.2,609.0,48.0,7.9,41.0,1.08,12.2,Serie A 2023-2024,serie a,2023-2024,2023
Hellas Verona,2,38.0,51,2.0,0.0,6.0,1.0,43.5,0.26,-6.5,-0.17,331.0,791.0,41.8,983.0,111.0,55.6,41.1,319.0,76.5,55.3,492.0,22.0,4.5,45.0,1.18,15.3,Serie A 2023-2024,serie a,2023-2024,2023
Inter,3,38.0,22,2.0,0.0,3.0,0.0,29.2,0.23,7.2,0.19,111.0,252.0,44.0,1196.0,151.0,16.9,26.1,249.0,20.1,25.8,453.0,24.0,5.3,16.0,0.42,12.1,Serie A 2023-2024,serie a,2023-2024,2023
Juventus,3,38.0,31,2.0,0.0,4.0,2.0,30.1,0.24,1.1,0.03,154.0,360.0,42.8,768.0,144.0,36.6,29.4,321.0,24.6,28.7,601.0,28.0,4.7,23.0,0.61,16.7,Serie A 2023-2024,serie a,2023-2024,2023
Lazio,2,38.0,39,2.0,0.0,3.0,0.0,36.9,0.23,-2.1,-0.05,139.0,366.0,38.0,985.0,132.0,29.5,37.7,301.0,24.9,28.1,476.0,21.0,4.4,23.0,0.61,13.1,Serie A 2023-2024,serie a,2023-2024,2023
Lecce,1,38.0,54,5.0,1.0,7.0,1.0,51.0,0.26,-2.0,-0.05,152.0,489.0,31.1,801.0,159.0,46.7,34.9,340.0,33.8,29.1,522.0,20.0,3.8,20.0,0.53,11.0,Serie A 2023-2024,serie a,2023-2024,2023
Milan,4,38.0,49,8.0,2.0,4.0,1.0,42.7,0.22,-5.3,-0.14,146.0,351.0,41.6,1248.0,233.0,22.9,26.9,273.0,23.8,26.9,440.0,43.0,9.8,46.0,1.21,15.4,Serie A 2023-2024,serie a,2023-2024,2023
Monza,2,38.0,51,7.0,1.0,6.0,0.0,59.8,0.27,8.8,0.23,197.0,486.0,40.5,1223.0,230.0,28.9,30.6,319.0,41.7,37.5,531.0,22.0,4.1,21.0,0.55,16.8,Serie A 2023-2024,serie a,2023-2024,2023
Napoli,3,38.0,48,2.0,1.0,6.0,0.0,46.1,0.33,-1.9,-0.05,83.0,242.0,34.3,955.0,149.0,19.9,17.0,226.0,23.0,27.9,417.0,14.0,3.4,41.0,1.08,37.0,Serie A 2023-2024,serie a,2023-2024,2023
Roma,2,38.0,46,3.0,0.0,5.0,3.0,43.6,0.26,0.6,0.02,134.0,327.0,41.0,945.0,163.0,25.1,25.3,289.0,31.1,29.7,517.0,32.0,6.2,15.0,0.39,12.0,Serie A 2023-2024,serie a,2023-2024,2023
Salernitana,3,38.0,81,10.0,0.0,9.0,2.0,68.1,0.29,-10.9,-0.29,183.0,647.0,28.3,858.0,127.0,49.7,44.9,345.0,64.1,46.6,631.0,15.0,2.4,31.0,0.82,7.6,Serie A 2023-2024,serie a,2023-2024,2023
Sassuolo,2,38.0,75,8.0,2.0,8.0,4.0,56.9,0.28,-14.1,-0.37,189.0,585.0,32.3,987.0,154.0,45.9,37.8,347.0,38.0,33.5,582.0,26.0,4.5,30.0,0.79,18.6,Serie A 2023-2024,serie a,2023-2024,2023
Torino,2,38.0,36,7.0,0.0,4.0,0.0,37.3,0.22,1.3,0.04,274.0,812.0,33.7,1370.0,179.0,44.2,31.1,273.0,75.8,59.9,431.0,41.0,9.5,40.0,1.05,12.0,Serie A 2023-2024,serie a,2023-2024,2023
Udinese,2,38.0,53,9.0,2.0,5.0,1.0,49.6,0.26,-2.4,-0.06,156.0,431.0,36.2,597.0,113.0,45.9,41.7,300.0,52.3,42.5,647.0,12.0,1.9,9.0,0.24,8.7,Serie A 2023-2024,serie a,2023-2024,2023
Brest,2,34.0,34,2.0,0.0,4.0,0.0,36.5,0.26,2.5,0.07,244.0,518.0,47.1,978.0,144.0,39.5,37.2,198.0,66.7,47.7,406.0,18.0,4.4,43.0,1.27,23.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Clermont Foot,2,34.0,60,7.0,0.0,6.0,1.0,64.9,0.28,5.9,0.17,226.0,613.0,36.9,1138.0,157.0,43.7,30.9,275.0,42.2,34.5,514.0,46.0,8.9,49.0,1.44,10.1,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Le Havre,2,34.0,45,2.0,0.0,5.0,2.0,49.9,0.31,6.9,0.2,158.0,463.0,34.1,709.0,135.0,45.7,33.1,251.0,55.4,40.9,482.0,32.0,6.6,25.0,0.74,14.5,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lens,2,34.0,37,6.0,0.0,6.0,1.0,43.3,0.28,7.3,0.21,164.0,379.0,43.3,923.0,148.0,33.3,29.0,221.0,32.6,29.1,396.0,32.0,8.1,39.0,1.15,9.8,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lille,2,34.0,34,3.0,0.0,2.0,2.0,37.5,0.26,5.5,0.16,106.0,360.0,29.4,1030.0,122.0,28.7,35.9,190.0,33.7,32.7,399.0,27.0,6.8,32.0,0.94,15.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
