Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Sheffield Utd,2,38.0,104,5.0,0.0,12.0,7.0,85.1,0.31,-11.9,-0.31,270.0,817.0,33.0,989.0,126.0,55.2,41.2,352.0,77.0,53.9,661.0,39.0,5.9,56.0,1.47,14.4,Premier League 2023-2024,premier league,2023-2024,2023
Tottenham,1,38.0,61,7.0,1.0,8.0,3.0,60.0,0.32,2.0,0.05,53.0,225.0,23.6,1308.0,193.0,14.9,24.0,256.0,11.7,19.4,511.0,33.0,6.5,81.0,2.13,17.1,Premier League 2023-2024,premier league,2023-2024,2023
West Ham,2,38.0,74,8.0,0.0,6.0,4.0,72.0,0.26,2.0,0.05,210.0,553.0,38.0,793.0,188.0,46.8,39.0,307.0,59.3,43.4,582.0,35.0,6.0,8.0,0.21,7.6,Premier League 2023-2024,premier league,2023-2024,2023
Wolves,2,38.0,65,8.0,1.0,7.0,1.0,71.7,0.32,7.7,0.2,100.0,480.0,20.8,933.0,199.0,34.3,33.8,305.0,52.5,40.0,572.0,45.0,7.9,31.0,0.82,13.3,Premier League 2023-2024,premier league,2023-2024,2023
Alavés,2,38.0,46,8.0,0.0,4.0,2.0,44.8,0.25,0.8,0.02,315.0,778.0,40.5,886.0,125.0,62.2,41.7,335.0,67.8,48.4,530.0,29.0,5.5,37.0,0.97,15.2,La Liga 2023-2024,la liga,2023-2024,2023
Almería,3,38.0,75,6.0,0.0,8.0,0.0,70.3,0.32,-4.7,-0.12,181.0,615.0,29.4,1115.0,180.0,39.5,24.1,330.0,53.0,41.7,629.0,29.0,4.6,47.0,1.24,22.7,La Liga 2023-2024,la liga,2023-2024,2023
Athletic Club,2,38.0,37,1.0,0.0,2.0,4.0,40.4,0.28,7.4,0.2,238.0,728.0,32.7,1050.0,164.0,48.0,32.4,272.0,82.4,59.3,491.0,33.0,6.7,49.0,1.29,15.3,La Liga 2023-2024,la liga,2023-2024,2023
Atlético Madrid,1,38.0,43,1.0,0.0,3.0,0.0,39.8,0.28,-3.2,-0.08,114.0,336.0,33.9,725.0,180.0,27.2,31.5,298.0,46.6,39.0,579.0,36.0,6.2,22.0,0.58,11.8,La Liga 2023-2024,la liga,2023-2024,2023
Barcelona,2,38.0,44,2.0,0.0,1.0,0.0,41.6,0.28,-2.4,-0.06,113.0,216.0,52.3,1076.0,161.0,14.7,26.3,255.0,22.7,27.9,450.0,15.0,3.3,36.0,0.95,15.6,La Liga 2023-2024,la liga,2023-2024,2023
Betis,3,38.0,45,7.0,3.0,3.0,3.0,47.5,0.26,5.5,0.15,180.0,510.0,35.3,1022.0,167.0,35.2,30.6,279.0,53.8,42.6,541.0,38.0,7.0,42.0,1.11,12.6,La Liga 2023-2024,la liga,2023-2024,2023
Cádiz,2,38.0,55,2.0,0.0,6.0,1.0,51.7,0.3,-2.3,-0.06,364.0,910.0,40.0,991.0,123.0,62.8,49.3,342.0,84.2,60.7,617.0,60.0,9.7,45.0,1.18,7.0,La Liga 2023-2024,la liga,2023-2024,2023
Celta Vigo,2,38.0,57,6.0,0.0,7.0,3.0,56.0,0.31,2.0,0.05,176.0,494.0,35.6,811.0,182.0,38.3,35.5,312.0,58.7,45.4,556.0,28.0,5.0,36.0,0.95,13.3,La Liga 2023-2024,la liga,2023-2024,2023
Getafe,2,38.0,54,5.0,0.0,7.0,0.0,55.2,0.29,1.2,0.03,341.0,915.0,37.3,977.0,124.0,66.6,39.2,322.0,82.0,56.2,463.0,18.0,3.9,62.0,1.63,10.7,La Liga 2023-2024,la liga,2023-2024,2023
Girona,1,38.0,46,5.0,0.0,8.0,0.0,51.0,0.28,5.0,0.13,155.0,420.0,36.9,1074.0,178.0,27.1,30.0,312.0,41.3,37.9,534.0,41.0,7.7,33.0,0.87,13.2,La Liga 2023-2024,la liga,2023-2024,2023
Granada,4,38.0,79,5.0,0.0,12.0,2.0,70.2,0.33,-6.8,-0.18,231.0,626.0,36.9,1096.0,185.0,40.1,35.7,293.0,63.8,47.9,536.0,33.0,6.2,52.0,1.37,17.3,La Liga 2023-2024,la liga,2023-2024,2023
Las Palmas,2,38.0,47,5.0,0.0,5.0,3.0,51.2,0.29,7.2,0.19,146.0,473.0,30.9,1733.0,204.0,23.3,27.3,265.0,26.4,27.1,545.0,30.0,5.5,100.0,2.63,17.8,La Liga 2023-2024,la liga,2023-2024,2023
Mallorca,3,38.0,44,4.0,1.0,4.0,1.0,43.6,0.26,0.6,0.02,333.0,824.0,40.4,981.0,128.0,61.0,33.0,332.0,68.1,51.3,520.0,34.0,6.5,29.0,0.76,7.0,La Liga 2023-2024,la liga,2023-2024,2023
Osasuna,2,38.0,56,1.0,0.0,8.0,0.0,51.8,0.33,-4.2,-0.11,329.0,771.0,42.7,1071.0,119.0,55.2,42.5,308.0,58.4,43.4,537.0,30.0,5.6,58.0,1.53,24.8,La Liga 2023-2024,la liga,2023-2024,2023
Rayo Vallecano,2,38.0,48,1.0,1.0,5.0,2.0,47.8,0.31,1.8,0.05,170.0,613.0,27.7,915.0,176.0,46.3,39.4,320.0,59.1,47.8,534.0,23.0,4.3,40.0,1.05,14.6,La Liga 2023-2024,la liga,2023-2024,2023
