Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Rio Ave,36,52.3,34.0,20071.0,1760.0,6344.0,8993.0,4932.0,804.0,20068.0,646.0,293.0,45.4,325.0,50.3,10955.0,52852.0,27113.0,544.0,357.0,140.0,524.0,272.0,12701.0,1351.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Santa Clara,25,55.4,34.0,19989.0,1848.0,6062.0,9513.0,4579.0,494.0,19983.0,557.0,251.0,45.1,262.0,47.0,11187.0,54894.0,27002.0,426.0,371.0,68.0,586.0,297.0,12648.0,1265.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Sporting CP,34,39.9,34.0,16483.0,2450.0,6632.0,6884.0,3136.0,407.0,16479.0,495.0,186.0,37.6,277.0,56.0,8397.0,41049.0,19147.0,355.0,266.0,51.0,509.0,268.0,9628.0,839.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Vitória,31,43.4,34.0,17230.0,2303.0,6971.0,6936.0,3492.0,501.0,17223.0,546.0,228.0,41.8,283.0,51.8,8372.0,41463.0,20317.0,364.0,231.0,90.0,500.0,245.0,10003.0,922.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Blackburn,33,50.9,46.0,26962.0,2446.0,8148.0,12098.0,6969.0,993.0,26958.0,772.0,308.0,39.9,405.0,52.5,14638.0,73946.0,36396.0,742.0,520.0,197.0,726.0,428.0,16433.0,1630.0,Championship 2024-2025,championship,2024-2025,2024
vs Bristol City,24,49.0,46.0,27036.0,3089.0,9982.0,11873.0,5437.0,933.0,27034.0,727.0,323.0,44.4,355.0,48.8,14605.0,72930.0,34787.0,686.0,444.0,200.0,668.0,400.0,16414.0,1433.0,Championship 2024-2025,championship,2024-2025,2024
vs Burnley,38,43.4,46.0,24078.0,2880.0,9081.0,10462.0,4771.0,772.0,24076.0,654.0,272.0,41.6,335.0,51.2,12648.0,61392.0,28693.0,557.0,401.0,141.0,649.0,364.0,14489.0,1178.0,Championship 2024-2025,championship,2024-2025,2024
vs Cardiff City,33,53.2,46.0,27697.0,2774.0,9341.0,12486.0,6105.0,960.0,27693.0,707.0,289.0,40.9,383.0,54.2,14826.0,77340.0,39212.0,712.0,489.0,205.0,768.0,430.0,17378.0,1626.0,Championship 2024-2025,championship,2024-2025,2024
vs Coventry City,26,45.7,46.0,24325.0,3065.0,9266.0,10089.0,5217.0,949.0,24324.0,641.0,271.0,42.3,329.0,51.3,12344.0,63919.0,31826.0,632.0,396.0,205.0,717.0,366.0,14208.0,1262.0,Championship 2024-2025,championship,2024-2025,2024
vs Derby County,33,56.2,46.0,27532.0,2625.0,8616.0,12927.0,6247.0,860.0,27529.0,715.0,301.0,42.1,366.0,51.2,14315.0,76030.0,38906.0,706.0,508.0,179.0,731.0,479.0,16710.0,1566.0,Championship 2024-2025,championship,2024-2025,2024
vs Hull City,37,50.0,46.0,27161.0,3066.0,9335.0,11403.0,6654.0,1147.0,27155.0,678.0,317.0,46.8,317.0,46.8,14581.0,73560.0,36347.0,800.0,503.0,256.0,696.0,393.0,17076.0,1715.0,Championship 2024-2025,championship,2024-2025,2024
vs Leeds United,28,38.7,46.0,22644.0,3236.0,9186.0,9697.0,3984.0,495.0,22640.0,684.0,305.0,44.6,332.0,48.5,11233.0,56250.0,26145.0,479.0,373.0,102.0,613.0,353.0,12824.0,1069.0,Championship 2024-2025,championship,2024-2025,2024
vs Luton Town,37,54.8,46.0,27316.0,3199.0,10150.0,11136.0,6268.0,915.0,27313.0,735.0,334.0,45.4,358.0,48.7,13991.0,72024.0,34559.0,699.0,479.0,197.0,777.0,395.0,16211.0,1491.0,Championship 2024-2025,championship,2024-2025,2024
vs Middlesbrough,33,44.6,46.0,25877.0,3115.0,9110.0,11198.0,5808.0,896.0,25877.0,707.0,289.0,40.9,372.0,52.6,13948.0,67857.0,32894.0,612.0,459.0,164.0,701.0,384.0,16078.0,1485.0,Championship 2024-2025,championship,2024-2025,2024
vs Millwall,34,57.0,46.0,27713.0,2783.0,9297.0,12427.0,6215.0,909.0,27709.0,724.0,295.0,40.7,383.0,52.9,14052.0,73467.0,35121.0,694.0,483.0,188.0,679.0,521.0,16760.0,1627.0,Championship 2024-2025,championship,2024-2025,2024
vs Norwich City,35,42.2,46.0,24311.0,2716.0,8040.0,10677.0,5863.0,929.0,24304.0,783.0,363.0,46.4,372.0,47.5,12528.0,64068.0,31342.0,691.0,447.0,225.0,662.0,402.0,14699.0,1454.0,Championship 2024-2025,championship,2024-2025,2024
vs Oxford United,34,56.4,46.0,29677.0,2598.0,9028.0,13857.0,7017.0,1145.0,29673.0,751.0,323.0,43.0,386.0,51.4,16735.0,83724.0,42992.0,834.0,532.0,222.0,710.0,378.0,19216.0,1858.0,Championship 2024-2025,championship,2024-2025,2024
