Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Sparta R'dam,29,48.9,34.0,20581.0,2449.0,7182.0,9038.0,4552.0,748.0,20579.0,481.0,206.0,42.8,236.0,49.1,11051.0,62223.0,33199.0,619.0,428.0,171.0,545.0,216.0,12774.0,1334.0,Eredivisie 2024-2025
Twente,29,53.3,34.0,21442.0,2306.0,6890.0,9366.0,5365.0,842.0,21435.0,441.0,183.0,41.5,225.0,51.0,11961.0,64002.0,33399.0,616.0,413.0,164.0,478.0,238.0,13866.0,1505.0,Eredivisie 2024-2025
Utrecht,27,46.6,34.0,19175.0,2267.0,6403.0,8187.0,4795.0,846.0,19173.0,558.0,250.0,44.8,273.0,48.9,10168.0,55079.0,27497.0,578.0,429.0,147.0,556.0,309.0,11274.0,1301.0,Eredivisie 2024-2025
Willem II,26,44.0,34.0,18547.0,2761.0,7125.0,7883.0,3723.0,466.0,18544.0,490.0,224.0,45.7,242.0,49.4,9830.0,52382.0,26108.0,458.0,348.0,94.0,533.0,285.0,11269.0,965.0,Eredivisie 2024-2025
Zwolle,26,50.2,34.0,20837.0,2661.0,7453.0,9019.0,4569.0,672.0,20834.0,604.0,264.0,43.7,306.0,50.7,10848.0,55189.0,26712.0,524.0,398.0,147.0,615.0,345.0,12966.0,1236.0,Eredivisie 2024-2025
Arouca,28,52.3,34.0,19785.0,2316.0,7206.0,8723.0,4000.0,532.0,19776.0,456.0,201.0,44.1,217.0,47.6,10623.0,49292.0,24971.0,418.0,335.0,97.0,557.0,278.0,12520.0,1175.0,Primeira Liga 2024-2025
AVS Futebol,33,44.0,34.0,17581.0,2194.0,6615.0,7674.0,3492.0,472.0,17576.0,543.0,229.0,42.2,280.0,51.6,8462.0,41796.0,19493.0,388.0,277.0,80.0,550.0,254.0,10226.0,863.0,Primeira Liga 2024-2025
Benfica,35,58.0,34.0,22577.0,1602.0,5661.0,10425.0,6680.0,1027.0,22565.0,721.0,303.0,42.0,392.0,54.4,13384.0,68897.0,35161.0,684.0,480.0,165.0,528.0,270.0,15289.0,1861.0,Primeira Liga 2024-2025
Boavista,32,40.3,34.0,15990.0,1833.0,5413.0,7350.0,3370.0,505.0,15983.0,394.0,163.0,41.4,205.0,52.0,7632.0,35063.0,16520.0,264.0,234.0,47.0,508.0,213.0,8671.0,880.0,Primeira Liga 2024-2025
Braga,35,56.8,34.0,22526.0,1793.0,6304.0,10970.0,5462.0,781.0,22520.0,561.0,278.0,49.6,245.0,43.7,12870.0,62689.0,31563.0,602.0,390.0,184.0,475.0,250.0,15168.0,1496.0,Primeira Liga 2024-2025
Casa Pia,32,46.7,34.0,17574.0,2383.0,6847.0,7578.0,3354.0,494.0,17570.0,516.0,246.0,47.7,237.0,45.9,9433.0,45973.0,21832.0,397.0,237.0,99.0,549.0,213.0,10298.0,951.0,Primeira Liga 2024-2025
Estoril,28,48.9,34.0,19080.0,1865.0,6705.0,8674.0,3878.0,523.0,19072.0,664.0,257.0,38.7,370.0,55.7,9857.0,45170.0,20402.0,403.0,314.0,85.0,570.0,306.0,11746.0,1039.0,Primeira Liga 2024-2025
Estrela,40,44.8,34.0,16764.0,2030.0,6194.0,7434.0,3326.0,462.0,16760.0,633.0,285.0,45.0,303.0,47.9,7546.0,39541.0,18625.0,354.0,240.0,64.0,650.0,284.0,9128.0,863.0,Primeira Liga 2024-2025
Famalicão,31,50.4,34.0,18939.0,2151.0,6917.0,7961.0,4237.0,580.0,18933.0,633.0,253.0,40.0,322.0,50.9,10454.0,51945.0,24955.0,437.0,332.0,104.0,523.0,301.0,11666.0,1230.0,Primeira Liga 2024-2025
Farense,37,41.3,34.0,15786.0,2180.0,6142.0,6378.0,3450.0,522.0,15783.0,543.0,237.0,43.6,274.0,50.5,7060.0,37613.0,18397.0,354.0,237.0,64.0,555.0,262.0,8069.0,866.0,Primeira Liga 2024-2025
Gil Vicente FC,34,50.6,34.0,19987.0,2354.0,7785.0,8694.0,3678.0,555.0,19983.0,560.0,234.0,41.8,300.0,53.6,11006.0,53858.0,27545.0,451.0,322.0,102.0,532.0,300.0,12902.0,1091.0,Primeira Liga 2024-2025
