Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
63,Yassin Belkhdim,fr FRA,MF,Angers,22,2002,29,16,"1,523",16.9,1,1,2,1,0,0,4,0,0.8,0.8,0.6,1.4,17,37,31,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.08,0.05,0.08,Matches,Ligue 1,2024/25
64,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,19,2005,33,19,"1,750",19.4,6,3,9,4,2,2,0,0,5.5,4.1,5.2,9.3,85,122,170,0.31,0.15,0.46,0.21,0.36,0.29,0.27,0.55,0.21,0.48,Matches,Ligue 1,2024/25
65,Ismaël Bennacer,dz ALG,MF,Marseille,26,1997,12,8,646,7.2,0,2,2,0,0,0,2,0,0.1,0.1,1.8,1.9,14,72,8,0.00,0.28,0.28,0.00,0.28,0.01,0.25,0.26,0.01,0.26,Matches,Ligue 1,2024/25
66,Saïd Benrahma,dz ALG,"FW,MF",Lyon,28,1995,13,9,735,8.2,1,3,4,1,0,0,0,0,2.0,2.0,2.1,4.0,41,32,109,0.12,0.37,0.49,0.12,0.49,0.24,0.25,0.49,0.24,0.49,Matches,Ligue 1,2024/25
67,Nabil Bentaleb,dz ALG,MF,Lille,29,1994,10,3,329,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.8,2,23,5,0.27,0.00,0.27,0.27,0.27,0.20,0.01,0.21,0.20,0.21,Matches,Ligue 1,2024/25
68,Lucas Beraldo,br BRA,DF,Paris S-G,20,2003,25,22,"2,011",22.3,1,0,1,1,0,0,6,0,0.9,0.9,0.4,1.2,9,131,0,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,Ligue 1,2024/25
69,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26,1998,11,9,763,8.5,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,7,41,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Ligue 1,2024/25
70,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
71,Mika Biereth,dk DEN,FW,Monaco,21,2003,16,16,"1,228",13.6,13,2,15,12,1,2,0,0,11.3,9.7,4.5,14.2,14,24,110,0.95,0.15,1.10,0.88,1.03,0.83,0.33,1.16,0.71,1.04,Matches,Ligue 1,2024/25
72,Emmanuel Biumla,fr FRA,DF,Angers,19,2005,17,15,"1,336",14.8,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.8,3,16,0,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05,Matches,Ligue 1,2024/25
